video_id,title,description,link,city,cleaned_title,cleaned_description
zUuM3Q0uURs,Top 10 Best Rooftop Restaurants in New York City,"New York City boasts a vibrant culinary scene, and when it comes to rooftop dining, the options are endless. In this video, we ...",https://www.youtube.com/watch?v=zUuM3Q0uURs,New York,Top 10 Best Rooftop Restaurants in New York City,New York City boasts a vibrant culinary scene and when it comes to rooftop dining the options are endless In this video we
flTYY83KYv8,Best NYC Restaurants: Pasta you can’t pass up,"In New York City, restaurants survive off of repeat customers. So it's no surprise that four out of five food vloggers told The Post that ...",https://www.youtube.com/watch?v=flTYY83KYv8,New York,Best NYC Restaurants Pasta you cant pass up,In New York City restaurants survive off of repeat customers So its no surprise that four out of five food vloggers told The Post that
igjg9wDEMxk,what $180k actually looks like in nyc.,,https://www.youtube.com/watch?v=igjg9wDEMxk,New York,what 180k actually looks like in nyc,
krfFV3vyGy8,This Restaurant is NYC’s Hardest Reservation | On The Line | Bon Appétit,"It takes people months, sometimes up to a year to secure their reservation here at Tatiana.” Today Bon Appétit spends a day on ...",https://www.youtube.com/watch?v=krfFV3vyGy8,New York,This Restaurant is NYCs Hardest Reservation On The Line Bon Apptit,It takes people months sometimes up to a year to secure their reservation here at Tatiana Today Bon Apptit spends a day on
mWzogob2cq0,NYC First Timers GUIDE: 10 MUST Do Experiences!,Save Many Hours of Planning With Our NYC Guides!: http://www.thatch.co/@herebebarr 10 Iconic NYC Experiences Every ...,https://www.youtube.com/watch?v=mWzogob2cq0,New York,NYC First Timers GUIDE 10 MUST Do Experiences,Save Many Hours of Planning With Our NYC Guides 10 Iconic NYC Experiences Every
ODluYyMZzs0,Top 5 NYC Foods You MUST TRY Before You Die!,"For 24 Hours we'll eat the most iconic food that New York has to offer. From pizza, to pastrami, bagels, hot dogs and more, join us ...",https://www.youtube.com/watch?v=ODluYyMZzs0,New York,Top 5 NYC Foods You MUST TRY Before You Die,For 24 Hours well eat the most iconic food that New York has to offer From pizza to pastrami bagels hot dogs and more join us
eRPhZXnJCtQ,Eating at Le Bernardin. NYC. 3 Michelin Stars. An Amazing 8 Course $310 Tasting Menu,I eat at and review the 8 course Chef's Tasting Menu at the three Michelin Starred fine dining seafood restaurant Le Bernardin in ...,https://www.youtube.com/watch?v=eRPhZXnJCtQ,New York,Eating at Le Bernardin NYC 3 Michelin Stars An Amazing 8 Course 310 Tasting Menu,I eat at and review the 8 course Chefs Tasting Menu at the three Michelin Starred fine dining seafood restaurant Le Bernardin in
Y0kcMALThn0,Top 5 BEST NYC Restaurants in Midtown | New York City,Tune in as we reveal the TOP 5 BEST RESTAURANTS in Midtown NYC and explore the vibrant food scene that will take your ...,https://www.youtube.com/watch?v=Y0kcMALThn0,New York,Top 5 BEST NYC Restaurants in Midtown New York City,Tune in as we reveal the TOP 5 BEST RESTAURANTS in Midtown NYC and explore the vibrant food scene that will take your
tot0YWgRn_w,Why This Restaurant Cheeseburger Beats Anything You Could Make At Home | Bon Appétit,Chef Jae Lee makes the best cheeseburger in New York City in his kitchen at Nowon in the East Village. We hate to break it to you ...,https://www.youtube.com/watch?v=tot0YWgRn_w,New York,Why This Restaurant Cheeseburger Beats Anything You Could Make At Home Bon Apptit,Chef Jae Lee makes the best cheeseburger in New York City in his kitchen at Nowon in the East Village We hate to break it to you
Lsw5Sh9X1Bc,Finding The Best Pizza In New York,"What makes a great slice of pizza? It must be hot. Cheesy but not too greasy. The crust needs a complex, developed flavor.",https://www.youtube.com/watch?v=Lsw5Sh9X1Bc,New York,Finding The Best Pizza In New York,What makes a great slice of pizza It must be hot Cheesy but not too greasy The crust needs a complex developed flavor
Ob1K_hQRW9I,The 4 BEST budget restaurants in NYC,Love trying new dishes? Join my food tour! https://bit.ly/FunkyExperiencesfood-tour-1 Watch the full video on YouTube: ...,https://www.youtube.com/watch?v=Ob1K_hQRW9I,New York,The 4 BEST budget restaurants in NYC,Love trying new dishes Join my food tour Watch the full video on YouTube
GIwEnk3Wq2I,How a Master Chef Built a Michelin-Starred Italian Restaurant in New York City — Mise En Place,"At NYC's Rezdôra, chef Stefano Secchi uses his years of training from under the best pasta-makers in Emilia-Romagna, Italy to ...",https://www.youtube.com/watch?v=GIwEnk3Wq2I,New York,How a Master Chef Built a MichelinStarred Italian Restaurant in New York City Mise En Place,At NYCs Rezdra chef Stefano Secchi uses his years of training from under the best pastamakers in EmiliaRomagna Italy to
uqao3dOYO7U,Best Late Night Food in Downtown NYC with Jonnyshipes,"Jonny Shipes, native New Yorker and founder of hip-hop label Cinematic Music Group, gives us a run-down of his favorite ...",https://www.youtube.com/watch?v=uqao3dOYO7U,New York,Best Late Night Food in Downtown NYC with Jonnyshipes,Jonny Shipes native New Yorker and founder of hiphop label Cinematic Music Group gives us a rundown of his favorite
LG6zfcFUq7s,What’s the hype with New York pizza?,,https://www.youtube.com/watch?v=LG6zfcFUq7s,New York,Whats the hype with New York pizza,
IpDPLBrNSy8,Only eating at NYC’s oldest restaurants! #foodie #nyc #nycfood #restaurant #eating #shorts,,https://www.youtube.com/watch?v=IpDPLBrNSy8,New York,Only eating at NYCs oldest restaurants foodie nyc nycfood restaurant eating shorts,
mkjPelu1j5M,Anthony Bourdain’s List of Best Restaurants in NYC,Get exclusive discounts on your trip to NYC at the link below: https://bit.ly/46nm6lU Did you know that Anthony Bourdain had a soft ...,https://www.youtube.com/watch?v=mkjPelu1j5M,New York,Anthony Bourdains List of Best Restaurants in NYC,Get exclusive discounts on your trip to NYC at the link below Did you know that Anthony Bourdain had a soft
DrcXr0X8W38,The Legendary Italian Dishes Behind One of New York&#39;s Toughest Tables — Mise En Place,"One of NYC's busiest restaurants is Don Angie, run by husband-and-wife duo Scott Tacinelli and Angie Rito. On top of serving an ...",https://www.youtube.com/watch?v=DrcXr0X8W38,New York,The Legendary Italian Dishes Behind One of New York39s Toughest Tables Mise En Place,One of NYCs busiest restaurants is Don Angie run by husbandandwife duo Scott Tacinelli and Angie Rito On top of serving an
hRxf-4Ted2s,Top 3 Iconic NYC Eateries You MUST TRY Before You Die!,We'll eat at three Iconic New York City Restaurant/Eateries that you must try while they're still around! SHOP our NEW NYC ...,https://www.youtube.com/watch?v=hRxf-4Ted2s,New York,Top 3 Iconic NYC Eateries You MUST TRY Before You Die,Well eat at three Iconic New York City RestaurantEateries that you must try while theyre still around SHOP our NEW NYC
